paper_id,score,title,authors,session_type,session_time,session_location,pdf_url,relevant_to_users,read_by_users,topics
4227756,89,Self-Challenging Language Model Agents,"Yifei Zhou, Sergey Levine, Jason E Weston, Xian Li, Sainbayar Sukhbaatar",SD-2-3407,,"Exhibit Hall C,D,E",https://openreview.net/pdf/d7856a8a4e991dab71814a3f39f28fe17b6b93bd.pdf,11,20,
4216018,89,AgentRecBench: Benchmarking LLM Agent-based Personalized Recommender Systems,"Yu Shang, Peijie Liu, Yuwei Yan, Zijing Wu, Leheng Sheng, Yuanqing Yu, Chumeng Jiang, An Zhang, Fengli Xu, ..., Yong Li",SD-3-2509,,"Exhibit Hall C,D,E",https://arxiv.org/pdf/2505.19623,3,8,
4324326,89,AgentTTS: Large Language Model Agent for Test-time Compute-optimal Scaling Strategy in Complex Tasks,"Fali Wang, Hui Liu, Zhenwei DAI, Jingying Zeng, Zhiwei Zhang, Zongyu Wu, Chen Luo, Zhen Li, Xianfeng Tang, ..., Suhang Wang",SD-4-3405,,"Exhibit Hall C,D,E",https://openreview.net/pdf/13ea5abf7135c2269571122e956e24009565de1f.pdf,3,12,
4251736,88,Wide-Horizon Thinking and Simulation-Based Evaluation for Real-World LLM Planning with Multifaceted Constraints,"Dongjie Yang, Chengqiang Lu, Qimeng Wang, Xinbei Ma, Yan Gao, Yao Hu, hai zhao",SD-4-5407,,"Exhibit Hall C,D,E",https://openreview.net/pdf/4fe14c361104913e172e118fa05d358d3b030840.pdf,1,4,
4207685,87,General-Reasoner: Advancing LLM Reasoning Across All Domains,"Xueguang Ma, Qian Liu, Dongfu Jiang, Ge Zhang, Zejun MA, Wenhu Chen",SD-2-308,,"Exhibit Hall C,D,E",https://openreview.net/pdf/59ca2ebad16c9f4c1d622f0bcd9007d31e1874bc.pdf,8,25,
4152665,87,MLRC-Bench: Can Language Agents Solve Machine Learning Research Challenges?,"Yunxiang Zhang, Muhammad Khalifa, Shitanshu Bhushan, Grant Murphy, Lajanugen Logeswaran, Jaekyeom Kim, Moontae Lee, Honglak Lee, Lu Wang",SD-3-1910,,"Exhibit Hall C,D,E",https://arxiv.org/pdf/2504.09702,3,8,
4215103,86,AI-Researcher: Autonomous Scientific Innovation,"Jiabin Tang, Lianghao Xia, Zhonghang Li, Chao Huang",SD-3-5417,,"Exhibit Hall C,D,E",https://openreview.net/pdf/a1c63cdd0495de94664b1513f7d95a3aedcb483a.pdf,12,18,
4051549,86,Bag of Tricks for Inference-time Computation of LLM Reasoning,"Fan LIU, Wen-Shuo Chao, Naiqiang Tan, Hao Liu",SD-6-4913,,"Exhibit Hall C,D,E",https://arxiv.org/pdf/2502.07191,5,15,
4215986,85,Multi-Agent Collaboration via Evolving Orchestration,"Yufan Dang, Chen Qian, Xueheng Luo, Jingru Fan, Zihao Xie, Ruijie Shi, Weize Chen, Cheng Yang, Xiaoyin Che, ..., Maosong Sun",SD-1-4019,,"Exhibit Hall C,D,E",https://openreview.net/pdf/9727f658d788c52f49f12ae4b230baf4cf0d4007.pdf,4,9,
4124416,85,Classical Planning with LLM-Generated Heuristics: Challenging the State of the Art with Python Code,"Augusto B. CorrÃªa, AndrÃ© Grahl Pereira, Jendrik Seipp",SD-3-3210,,"Exhibit Hall C,D,E",https://openreview.net/pdf/924624fad0f2d9ea4637686b275593407c20b753.pdf,3,7,
4101178,84,ReMA: Learning to Meta-Think for LLMs with Multi-agent Reinforcement Learning,"Ziyu Wan, Yunxiang LI, Xiaoyu Wen, Yan Song, Hanjing Wang, Linyi Yang, Mark Schmidt, Jun Wang, Weinan Zhang, ..., Ying Wen",SD-2-400,,"Exhibit Hall C,D,E",https://openreview.net/pdf/4ef88667f9d6e59455e6805cd91df2e8e519f9d0.pdf,16,38,
4177504,84,WebThinker: Empowering Large Reasoning Models with Deep Research Capability,"Xiaoxi Li, Jiajie Jin, Guanting Dong, Hongjin Qian, Yongkang Wu, Ji-Rong Wen, Yutao Zhu, Zhicheng Dou",SD-3-1905,,"Exhibit Hall C,D,E",https://openreview.net/pdf/4e3ecfb1260a3ed3a6f051cf994b3be14a8f904e.pdf,5,10,
4409843,84,LexiCon: a Benchmark for Planning under Temporal Constraints in Natural Language,"Periklis Mantenoglou, Rishi Hazra, Pedro Zuidberg Dos Martires, Luc De Raedt",SD-6-3108,,"Exhibit Hall C,D,E",https://arxiv.org/pdf/2510.05972,0,0,
4442669,83,Agentic RL Scaling Law: Spontaneous Code Execution for Mathematical Problem Solving,"Xinji Mai, Haotian Xu, Xing W, Weinong Wang, Yingying Zhang, Wenqiang Zhang",SD-1-306,,"Exhibit Hall C,D,E",https://openreview.net/pdf/6d8a6cfbc785966d9381495a786eea81de48d681.pdf,4,15,
4483816,83,Evaluating Generalization Capabilities of LLM-Based Agents in Mixed-Motive Scenarios Using Concordia,"Chandler Smith, Marwa Abdulhai, Manfred DÃ­az, Marko Tesic, Rakshit Trivedi, Sasha Vezhnevets, Lewis Hammond, Jesse Clifton, Minsuk Chang, ..., Joel Leibo",SD-1-3603,,"Exhibit Hall C,D,E",https://arxiv.org/pdf/2512.03318,1,2,
4441771,83,Agentic Plan Caching: Test-Time Memory for Fast and Cost-Efficient LLM Agents,"Qizheng Zhang, Michael Wornow, Kunle Olukotun",SD-4-2013,,"Exhibit Hall C,D,E",https://openreview.net/pdf/2362f2d245503d9d209dde5a45fbfbf3fb6a5990.pdf,3,9,
4325538,82,Attractive Metadata Attack: Inducing LLM Agents to Invoke Malicious Tools,"Kanghua Mo, Li Hu, Yucheng Long, Zhihao li",SD-5-1512,,"Exhibit Hall C,D,E",https://openreview.net/pdf/58fd047ac6ca0bee4f61d85fc98df7a5c5b55e31.pdf,6,21,
4272120,82,The Automated LLM Speedrunning Benchmark: Reproducing NanoGPT Improvements,"Bingchen Zhao, Despoina Magka, Minqi Jiang, Xian Li, Roberta Raileanu, Tatiana Shavrina, Jean-Christophe Gagnon-Audet, Kelvin Niu, Shagun Sodhani, ..., Yoram Bachrach",SD-6-3313,,"Exhibit Hall C,D,E",https://arxiv.org/pdf/2506.22419,5,19,
4209861,81,AutoData: A Multi-Agent System for Open Web Data Collection,"Tianyi Ma, Yiyue Qian, Zheyuan Zhang, Zehong Wang, Xiaoye Qian, Feifan Bai, Yifan Ding, Xuwei Luo, Shinan Zhang, ..., Yanfang Ye",SD-3-2501,,"Exhibit Hall C,D,E",https://openreview.net/pdf/066a04337fe56fee38b21d8e6b2366fac00856f4.pdf,1,2,
4031335,81,Large Language Models Think Too Fast To Explore Effectively,"Lan Pan, Hanbo Xie, Robert Wilson",SD-4-2200,,"Exhibit Hall C,D,E",https://openreview.net/pdf/84905da6e0006182e87623ee1b532443c3ca840a.pdf,14,24,
4183911,81,WebGen-Bench: Evaluating LLMs on Generating Interactive and Functional Websites from Scratch,"Zimu Lu, Yunqiao Yang, Houxing Ren, Haotian Hou, Han Xiao, Ke Wang, Weikang Shi, Aojun Zhou, Mingjie Zhan, Hongsheng Li",SD-5-1505,,"Exhibit Hall C,D,E",https://arxiv.org/pdf/2505.03733,5,13,
4216350,81,MLR-Bench: Evaluating AI Agents on Open-Ended Machine Learning Research,"Hui Chen, Miao Xiong, Yujie Lu, Wei Han, Ailin Deng, Yufei He, Jiaying Wu, Yibo Li, Yue Liu, Bryan Hooi",SD-5-2305,,"Exhibit Hall C,D,E",https://arxiv.org/pdf/2505.19955,1,6,
4450801,81,LTD-Bench: Evaluating Large Language Models by Letting Them Draw,"Liuhao Lin, Ke Li, Zihan Xu, Yuchen Shi, Yulei Qin, Yan Zhang, Xing Sun, Rongrong Ji",SD-6-201,,"Exhibit Hall C,D,E",https://arxiv.org/pdf/2511.02347,2,4,
4280288,81,Establishing Best Practices in Building Rigorous Agentic Benchmarks,"Yuxuan Zhu, Tengjun Jin, Yada Pruksachatkun, Andy Zhang, Shu Liu, Sasha Cui, Sayash Kapoor, Shayne Longpre, Kevin Meng, ..., Daniel Kang",SD-6-2709,,"Exhibit Hall C,D,E",https://arxiv.org/pdf/2507.02825,5,9,
4218397,80,Large Language Models Miss the Multi-agent Mark,"Emanuele La Malfa, Gabriele La Malfa, Samuele Marro, Jie Zhang, Elizabeth Black, Michael Luck, Philip Torr, Michael Wooldridge",SD-3-3504,,"Exhibit Hall C,D,E",https://arxiv.org/pdf/2505.21298,5,9,
4101719,80,Factorio Learning Environment,"Jack Hopkins, Mart Bakler, Akbir Khan",SD-4-312,,"Exhibit Hall C,D,E",https://arxiv.org/pdf/2503.09617,2,11,
4317546,80,Security Challenges in AI Agent Deployment: Insights from a Large Scale Public Competition,"Andy Zou, Maxwell Lin, Eliot Jones, Micha Nowak, Mateusz Dziemian, Nick Winter, Valent Nathanael, Ayla Croft, Xander Davies, ..., Matt Fredrikson",SD-6-4915,,"Exhibit Hall C,D,E",https://arxiv.org/pdf/2507.20526,8,18,
4306120,79,PhysGym: Benchmarking LLMs in Interactive Physics Discovery with Controlled Priors,"Yimeng Chen, Piotr PiÄkos, Mateusz Ostaszewski, Firas Laakom, JÃ¼rgen Schmidhuber",SD-2-2108,,"Exhibit Hall C,D,E",https://arxiv.org/pdf/2507.15550,4,9,
4220404,79,WebDancer: Towards Autonomous Information Seeking Agency,"Jialong Wu, Baixuan Li, Runnan Fang, Wenbiao Yin, Liwen Zhang, Zhenglin Wang, Zhengwei Tao, Ding-Chu Zhang, Zekun Xi, ..., Jingren Zhou",SD-3-5515,,"Exhibit Hall C,D,E",https://openreview.net/pdf/7c886fbc63b09377d123254d93907b41820d72d7.pdf,1,2,
4208900,79,LLM-Explorer: A Plug-in Reinforcement Learning Policy Exploration Enhancement Driven by Large Language Models,"Qianyue Hao, Yiwen Song, Qingmin Liao, Jian Yuan, Yong Li",SD-3-309,,"Exhibit Hall C,D,E",https://openreview.net/pdf/64ba671c860d8032b21824e28d00916c3e613964.pdf,0,18,
4442347,78,Can Dependencies Induced by LLM-Agent Workflows Be Trusted?,"Yu Yao, Yiliao Song, Yian Xie, Mengdan Fan, Mingyu Guo, Tongliang Liu",SD-2-1904,,"Exhibit Hall C,D,E",https://openreview.net/pdf/d84e4a86a34dd41d3f1e6d33048f4c075db78d62.pdf,0,0,
4292024,78,OST-Bench: Evaluating the Capabilities of MLLMs in Online Spatio-temporal Scene Understanding,"Jingli Lin, Chenming Zhu, Runsen Xu, Xiaohan Mao, Xihui Liu, Tai WANG, Jiangmiao Pang",SD-5-4601,,"Exhibit Hall C,D,E",https://arxiv.org/pdf/2507.07984,12,31,
4216309,78,Enigmata:  Scaling Logical Reasoning in Large Language Models with Synthetic Verifiable Puzzles,"Jiangjie Chen, Qianyu He, Siyu Yuan, Aili Chen, Zhicheng Cai, Weinan Dai, Hongli Yu, Jiaze Chen, Xuefeng Li, ..., Mingxuan Wang",SD-6-5104,,"Exhibit Hall C,D,E",https://openreview.net/pdf/d16d55cfeff749792ae0b093a3f4c0123aa6c09f.pdf,1,11,
4251426,77,Eliciting Reasoning in Language Models with Cognitive Tools,"Brown Ebouky, Andrea Bartezzaghi, Mattia Rigotti",SD-1-302,,"Exhibit Hall C,D,E",https://openreview.net/pdf/ea576c6461243d27a8102c9dfa554db950d66757.pdf,9,28,
4207185,77,MM-Agent: LLM as Agents for Real-world Mathematical Modeling Problem,"Fan Liu, Zhe-Rui Yang, Cancheng Liu, Tianrui SONG, Xiaofeng Gao, Hao Liu",SD-3-5516,,"Exhibit Hall C,D,E",https://openreview.net/pdf/e01a39be0de98c2f808394f7affa2bfb004c68a5.pdf,4,9,
4101882,77,AgentDAM: Privacy Leakage Evaluation for Autonomous Web Agents,"Arman Zharmagambetov, Chuan Guo, Ivan Evtimov, Maya Pavlova, Ruslan Salakhutdinov, Kamalika Chaudhuri",SD-4-1304,,"Exhibit Hall C,D,E",https://arxiv.org/pdf/2503.09780,4,5,
4143210,77,APIGen-MT: Agentic Pipeline for Multi-Turn Data Generation via Simulated Agent-Human Interplay,"Akshara Prabhakar, Zuxin Liu, Ming Zhu, Jianguo Zhang, Tulika Manoj Awalgaonkar, Shiyu Wang, Zhiwei Liu, Haolin Chen, Thai Hoang, ..., Caiming Xiong",SD-4-109,,"Exhibit Hall C,D,E",https://arxiv.org/pdf/2504.03601,1,8,
4441817,77,SimWorld: An Open-ended Simulator for Agents in Physical and Social Worlds,"Xiaokang Ye, Jiawei Ren, Yan Zhuang, Xuhong He, Yiming Liang, Yiqing Yang, Mrinaal Dogra, Xianrui Zhong, Eric Liu, ..., Lianhui Qin",SD-5-401,,"Exhibit Hall C,D,E",https://openreview.net/pdf/a98dee23d8b37552151336bbac20c838fd5e9ee1.pdf,3,13,
4146941,76,Hogwild! Inference: Parallel LLM Generation via Concurrent Attention,"Gleb Rodionov, Roman Garipov, Alina Shutova, George Yakushev, Erik Schultheis, Vage Egiazarian, Anton Sinitsin, Denis Kuznedelev, Dan Alistarh",SD-1-1906,,"Exhibit Hall C,D,E",https://openreview.net/pdf/752690b760cb01f226ba630228b97af81df4d1d1.pdf,4,20,
4256007,76,Revisiting Reinforcement Learning for LLM Reasoning from A Cross-Domain Perspective,"Jorge (Zhoujun) Cheng, Shibo Hao, Tianyang Liu, Fan Zhou, Yutao Xie, Feng Yao, Yuexin Bian, Nilabjo Dey, Yonghao Zhuang, ..., Zhiting Hu",SD-1-107,,"Exhibit Hall C,D,E",https://arxiv.org/pdf/2506.14965,8,16,
4087784,76,Language Models can Self-Improve at State-Value Estimation for Better Search,"Ethan Mendes, Alan Ritter",SD-5-1916,,"Exhibit Hall C,D,E",https://openreview.net/pdf/ea251516f78a77cbc42dd4a50e2ce4aadfc2226f.pdf,5,10,
4224020,75,OWL: Optimized Workforce Learning for General Multi-Agent Assistance in Real-World Task Automation,"Mengkang Hu, Yuhang Zhou, Wendong Fan, Yuzhou Nie, Ziyu Ye, Bowei Xia, Tao Sun, Zhaoxuan Jin, Yingru Li, ..., Guohao Li",SD-1-5409,,"Exhibit Hall C,D,E",https://openreview.net/pdf/9ea2d3d5cf7f874c7669ab5c3f1270eb3bc794d1.pdf,0,2,
4205122,75,TimE: A Multi-level Benchmark for Temporal Reasoning of LLMs in Real-World Scenarios,"Shaohang Wei, Wei Li, Feifan Song, Wen Luo, Tianyi Zhuang, Haochen Tan, Zhijiang Guo, Houfeng Wang",SD-1-1806,,"Exhibit Hall C,D,E",https://arxiv.org/pdf/2505.12891,0,1,
4213643,74,Planning without Search: Refining Frontier LLMs with Offline Goal-Conditioned RL,"Joey Hong, Anca Dragan, Sergey Levine",SD-3-5419,,"Exhibit Hall C,D,E",https://openreview.net/pdf/a27fd29bd9a99f5624d5362501cf5a6acc4c4e37.pdf,7,22,
4202422,74,InfantAgent-Next: A Multimodal Generalist Agent for Automated Computer Interaction,"Bin Lei, Weitai Kang, Zijian Zhang, Winson Chen, Xi Xie, Shan Zuo, Mimi Xie, Ali Payani, Mingyi Hong, ..., Caiwen Ding",SD-5-1602,,"Exhibit Hall C,D,E",https://openreview.net/pdf/ae7bb751a0d72057590b5907d9d4fa86c412be50.pdf,2,7,
4226687,74,AgentAuditor: Human-level Safety and Security Evaluation for LLM Agents,"Hanjun Luo, Shenyu Dai, Chiming Ni, Xinfeng Li, Guibin Zhang, Kun Wang, Tongliang Liu, Hanan Salam",SD-6-1106,,"Exhibit Hall C,D,E",https://openreview.net/pdf/2ceecf4bf50bffa7cff2d145fadb18c23daf7206.pdf,5,6,
4441402,74,Collaborative Reasoner: Self-Improving Social Agents with Synthetic Conversations,"Ansong Ni, Ruta Desai, Yang Li, Xinjie Lei, Dong Wang, Jiemin Zhang, Jane Yu, Ramya Raghavendra, Gargi Ghosh, ..., Asli Celikyilmaz",SD-6-1913,,"Exhibit Hall C,D,E",https://openreview.net/pdf/42a338bca40ea896002753679729eb2240bf62b3.pdf,4,18,
4441317,73,LogicTree: Improving Complex Reasoning of LLMs via Instantiated Multi-step Synthetic Logical Data,"Zehao Wang, Lin Yang, Jie Wang, Kehan Wang, Hanzhu Chen, Bin Wang, Jianye HAO, Defu Lian, Bin Li, Enhong Chen",SD-2-113,,"Exhibit Hall C,D,E",https://openreview.net/pdf/30059572044fffae201f1e0daf92fc78a5aef218.pdf,1,3,
4436485,73,LooGLE v2: Are LLMs Ready for Real World Long Dependency Challenges?,"Ziyuan He, Yuxuan Wang, Jiaqi Li, Kexin Liang, Muhan Zhang",SD-5-5102,,"Exhibit Hall C,D,E",https://arxiv.org/pdf/2510.22548,1,1,
4257175,71,Embodied Web Agents: Bridging Physical-Digital Realms for Integrated Agent Intelligence,"Yining Hong, Rui Sun, Bingxuan Li, Xingcheng Yao, Maxine Wu, Alexander Chien, Da Yin, Ying Nian Wu, Zhecan Wang, Kai-Wei Chang",SD-5-4509,,"Exhibit Hall C,D,E",https://arxiv.org/pdf/2506.15677,4,13,
4230100,71,ResearchCodeBench: Benchmarking LLMs on Implementing Novel Machine Learning Research Code,"Tianyu Hua, Harper Hua, Violet Xiang, Benjamin Klieger, Sang Truong, Weixin Liang, Fan-Yun Sun, Nick Haber",SD-6-2710,,"Exhibit Hall C,D,E",https://arxiv.org/pdf/2506.02314,3,12,
4233818,71,ICPC-Eval: Probing the Frontiers of LLM Reasoning with Competitive Programming Contests,"Shiyi Xu, Hu Yiwen, Yingqian Min, Zhipeng Chen, Xin Zhao, Ji-Rong Wen",SD-6-109,,"Exhibit Hall C,D,E",https://arxiv.org/pdf/2506.04894,3,8,
4090572,70,Wider or Deeper?  Scaling LLM Inference-Time Compute with Adaptive Branching Tree Search,"Yuichi Inoue, Kou Misaki, Yuki Imajuku, So Kuroki, Taishi Nakamura, Takuya Akiba",SD-2-3418,,"Exhibit Hall C,D,E",https://openreview.net/pdf/e6d2b8dcb02f4dadb940b53aefa65032db4fbd89.pdf,4,7,
4166142,70,WALL-E: World Alignment by NeuroSymbolic Learning improves World Model-based LLM Agents,"Siyu Zhou, Tianyi Zhou, Yijun Yang, Guodong Long, Deheng Ye, Jing Jiang, Chengqi Zhang",SD-3-2811,,"Exhibit Hall C,D,E",https://openreview.net/pdf/4a70c0605cac16a41fee061564452113f886243a.pdf,4,32,
4215280,70,Personalized Safety in LLMs: A Benchmark and A Planning-Based Agent Approach,"Yuchen Wu, Edward Sun, Kaijie Zhu, Jianxun Lian, Jose Hernandez-Orallo, Aylin Caliskan, Jindong Wang",SD-5-1409,,"Exhibit Hall C,D,E",https://openreview.net/pdf/c98e7220e280f1d8bae43d92944840467237a1e7.pdf,2,5,
4037484,70,Rollout Roulette: A Probabilistic Inference Approach to Inference-Time Scaling of LLMs using Particle-Based Monte Carlo Methods,"Isha Puri, Shivchander Sudalairaj, Guangxuan Xu, Abhishek Bhandwaldar, Kai Xu, Akash Srivastava",SD-5-5518,,"Exhibit Hall C,D,E",https://openreview.net/pdf/7ee28149679cef6235a635039365773e8ff846ed.pdf,7,11,
4442362,70,Predicting the Performance of Black-box Language Models with Follow-up Queries,"Dylan Sam, Marc Anton Finzi, J Zico Kolter",SD-6-1304,,"Exhibit Hall C,D,E",https://openreview.net/pdf/a9530414a4fd5f326629f3402e2729d04dac678a.pdf,10,22,
4208641,69,RL Tango: Reinforcing Generator and Verifier Together for Language Reasoning,"Kaiwen Zha, Zhengqi Gao, Maohao Shen, Zhang-Wei Hong, Duane S Boning, Dina Katabi",SD-1-4017,,"Exhibit Hall C,D,E",https://openreview.net/pdf/df2d115dd7fe7763e94fd35d45007ed71cbcebc7.pdf,3,9,
4219339,69,RepoMaster: Autonomous Exploration and Understanding of GitHub Repositories for  Complex Task Solving,"Huacan Wang, Ziyi Ni, Shuo Zhang, Shuo Lu, Sen Hu, Ziyang He, Chen Hu, Jiaye Lin, Yifu Guo, ..., Pin Lyu",SD-2-1916,,"Exhibit Hall C,D,E",https://openreview.net/pdf/fea6d1106531a6d10e824159b158dcbffbc07cc2.pdf,2,8,
4250005,69,SEC-bench: Automated Benchmarking of LLM Agents on Real-World Software Security Tasks,"Hwiwon Lee, Ziqi Zhang, Hanxiao Lu, LINGMING ZHANG",SD-3-2506,,"Exhibit Hall C,D,E",https://openreview.net/pdf/66d2a1a241b7979f0f8776b51e62c6b1f1bc7db8.pdf,3,8,
4036626,69,AgentBreeder: Mitigating the AI Safety Risks of Multi-Agent Scaffolds via Self-Improvement,"J Rosser, Jakob Nicolaus Foerster",SD-4-1201,,"Exhibit Hall C,D,E",https://openreview.net/pdf/237ca0099a7a95299cd0bae4b495038b19873e08.pdf,3,9,
4397868,69,AceSearcher: Bootstrapping Reasoning and Search for LLMs via Reinforced Self-Play,"Ran Xu, Yuchen Zhuang, Zihan Dong, Ruiyu Wang, Yue Yu, Joyce C. Ho, Linjun Zhang, Haoyu Wang, Wenqi Shi, Carl Yang",SD-5-1908,,"Exhibit Hall C,D,E",https://openreview.net/pdf/d73f4b0dc08ba840cfc15d8e7e9be6ad4a9b52ce.pdf,1,4,
4221910,68,SWE-bench Goes Live!,"Linghao Zhang, Shilin He, Chaoyun Zhang, Yu Kang, Bowen Li, Chengxing Xie, Junhao Wang, Maoquan Wang, Yufan Huang, ..., Dongmei Zhang",SD-1-4009,,"Exhibit Hall C,D,E",https://arxiv.org/pdf/2505.23419,6,17,
4444932,68,MM-OPERA: Benchmarking Open-ended Association Reasoning for Large Vision-Language Models,"Zimeng Huang, Jinxin Ke, Xiaoxuan Fan, Yufeng Yang, Yang Liu, Liu Zhonghan, Zedi Wang, Junteng Dai, Haoyi Jiang, ..., Ziliang Chen",SD-1-4612,,"Exhibit Hall C,D,E",https://arxiv.org/pdf/2510.26937,0,6,
4442428,68,Measuring AI Ability to Complete Long Software Tasks,"Thomas Kwa, Ben West, Joel Becker, Amy Deng, Katharyn Garcia, Max Hasin, Sami Jawhar, Megan Kinniment, Nate Rush, ..., Lawrence Chan",SD-2-5312,,"Exhibit Hall C,D,E",https://openreview.net/pdf/402f09e70f9d9e6a99edbcaaa360692d05eec7ab.pdf,2,3,
4216538,68,MineAnyBuild: Benchmarking Spatial Planning for Open-world AI Agents,"Ziming Wei, Bingqian Lin, Zijian Jiao, Yunshuang Nie, Liang Ma, Yuecheng Liu, Yuzheng Zhuang, Xiaodan Liang",SD-4-1508,,"Exhibit Hall C,D,E",https://arxiv.org/pdf/2505.20148,0,0,
4226827,68,CoP: Agentic Red-teaming for Large Language Models using Composition of Principles,"Chen Xiong, Pin-Yu Chen, Tsung-Yi Ho",SD-6-1307,,"Exhibit Hall C,D,E",https://openreview.net/pdf/cb30447780175b5ce7f25d0e0277ddcc32156544.pdf,3,8,
4202819,67,"Meta-World+: An Improved, Standardized, RL Benchmark","Reginald McLean, Evangelos Chatzaroulas, Luc McCutcheon, Frank RÃ¶der, Tianhe Yu, Zhanpeng He, K.R. Zentner, Ryan Julian, J Terry, ..., Pablo Samuel Castro",SD-1-403,,"Exhibit Hall C,D,E",https://arxiv.org/pdf/2505.11289,12,50,
4238914,66,The Illusion of Thinking: Understanding the Strengths and Limitations of Reasoning Models via the Lens of Problem Complexity,"Parshin Shojaee, Seyed Iman Mirzadeh, Keivan Alizadeh, Maxwell Horton, Samy Bengio, Mehrdad Farajtabar",SD-1-1914,,"Exhibit Hall C,D,E",https://openreview.net/pdf/b58069a804c5fad686ceb13a131631201748c264.pdf,22,41,
4441760,66,Thinking vs. Doing: Improving Agent Reasoning by  Scaling Test-Time Interaction,"Junhong Shen, Hao Bai, Lunjun Zhang, Yifei Zhou, Amrith Setlur, Shengbang Tong, Diego Caples, Nan Jiang, Tong Zhang, ..., Aviral Kumar",SD-2-515,,"Exhibit Hall C,D,E",https://openreview.net/pdf/20cba89765ebda48a0c183f17ceb68d13f90d0dc.pdf,4,8,
4357417,66,Can Large Language Models Master Complex Card Games?,"Wei Wang, Fuqing Bie, Junzhe Chen, Dan Zhang, Shiyu Huang, Evgeny Kharlamov, Jie Tang",SD-2-101,,"Exhibit Hall C,D,E",https://openreview.net/pdf/1d7991c179addeedf33ce77dc2ffd0e475f69b2c.pdf,1,8,
3869165,65,Benchmarking Large Language Models with Integer Sequence Generation Tasks,"Daniel O&#x27;Malley, Manish Bhattarai, Nishath Ranasinghe, Erick Draayer, Javier E. Santos",SD-1-2800,,"Exhibit Hall C,D,E",https://arxiv.org/pdf/2411.04372,4,9,
